"","ID","LineID","PriFault","SecFault","FmCode","FmName","UpFmCode","UpFmName","FaultSense","DipDir","HW_VOffset","Comment","Author","Year","Title","Source","RefPg","ErrRange","PubScale"
"2572",64,2873,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2573",64,2874,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2574",64,2875,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2575",64,2876,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2576",64,2877,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2577",64,2878,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2578",64,2879,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2579",64,2880,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2580",64,2881,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2581",64,2882,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2582",64,2883,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2583",64,2884,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2584",64,2885,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2585",64,2886,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2586",64,2887,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2587",64,2888,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2588",64,2889,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2589",64,2890,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2590",64,2891,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2591",64,2892,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2592",64,2893,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2593",64,2894,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2594",64,2895,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2595",64,2896,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2596",64,2897,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2597",64,2898,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2598",64,2899,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2599",64,2900,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2600",64,2901,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2601",64,2902,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2602",64,2903,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2603",64,2904,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2604",64,2905,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2605",64,2906,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2606",64,2907,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2607",64,2908,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2608",64,2909,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2609",64,2910,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2610",64,2911,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2611",64,2912,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2612",64,2913,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2613",64,2914,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2614",64,2915,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2615",64,2916,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2616",64,2917,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2617",64,2918,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2618",64,2919,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2619",64,2920,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2620",64,2921,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2621",64,2922,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2622",64,2923,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2623",64,2924,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2624",64,2925,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2625",64,2926,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2626",64,2927,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2627",64,2928,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2628",64,2929,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2629",64,2930,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2630",64,2931,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
"2631",64,2932,"aerial photo interpretation","(none)",27460,"UPPER PALEOZOIC",25510,"MESOZOIC","unknown",NA,NA,"'Macro-fractures' ('air photo fractures') air photo lineaments longer than 3.2 km, inferred to be basement-controlled.","Haman, P.J. and Jurgens, K.","1974","The discovery of the Caroline Arch, Alberta, by lineament analysis.","in Proceedings of the First International Conference on New Basement Tectonics, Utah Geological Association, Publication 5, p. 153<U+0096>162.","161","< 1 km","1:364,369"
